Date,Close,High,Low,Open,Volume,RSI,SMA_20,SMA_50,EMA_20,EMA_50,MACD,Signal_Line,BB_High,BB_Low,Volume_SMA_20,Signal
2024-12-19,249.1888885498047,251.3935770141874,246.49538898335234,246.90440599607692,60882300,,,,,,,,,,,HOLD
2024-12-20,253.87759399414062,254.3863612366688,245.09876750312787,247.44310326755718,147495300,,,,,,,,,,,HOLD
2024-12-23,254.6557159423828,255.03479114956258,252.8400883307868,254.15691915529422,40858800,,,,,,,,,,,HOLD
2024-12-24,257.57867431640625,257.58862955018265,254.67565812568793,254.87518901917565,23234700,,,,,,,,,,,HOLD
2024-12-26,258.39666748046875,259.47408555117545,257.0100282923795,257.56867823862046,27237100,,,,,,,,,,,HOLD
2024-12-27,254.9749298095703,258.0774615569102,252.4510193654514,257.20952960207876,42355300,,,,,,,,,,,HOLD
2024-12-30,251.5930938720703,252.8899685500744,250.14658624824915,251.62302046123375,35557500,,,,,,,,,,,HOLD
2024-12-31,249.8173828125,252.670501064015,248.82975968702823,251.8325261089863,39480700,,,,,,,,,,,HOLD
2025-01-02,243.26319885253906,248.5005651105234,241.23808511721737,248.3309608077005,55740700,,,,,,,,,,,HOLD
2025-01-03,242.7743682861328,243.5923870862029,241.3079045417172,242.7743682861328,40244100,,,,,,,,,,,HOLD
2025-01-06,244.41041564941406,246.73481040856498,242.61474424512696,243.72207367593157,45045600,,,,,,,,,,,HOLD
2025-01-07,241.62713623046875,244.9590949760797,240.76920518354387,242.3952722906863,40856000,,,,,,,,,,,HOLD
2025-01-08,242.11593627929688,243.12351544341067,239.47231962725974,241.33781457710975,37628900,,,,,,,,,,,HOLD
2025-01-10,236.280029296875,239.58206138453855,232.4392881886217,239.4324132245663,61710900,24.351389260872338,,,,,,,,,,HOLD
2025-01-13,233.83592224121094,234.10527676213235,229.16719172961072,232.96802072299363,49630700,21.94600002522222,,,,,,,,,,HOLD
2025-01-14,232.71861267089844,235.55177458449063,231.9105643637605,234.1850763475817,39435300,20.928269240764735,,,,,,,,,,HOLD
2025-01-15,237.2975616455078,238.38495013235746,233.86583756026477,234.07533889356793,39832000,34.36233905197979,,,,,,,,,,HOLD
2025-01-16,227.710693359375,237.4372302632713,227.4812511099753,236.77883010316478,71759100,24.844913553824497,,,,,,,,,,HOLD
2025-01-17,229.4265594482422,231.73099810398455,227.93016912923343,231.5614090278119,68488300,28.653807516419775,,,,,,,,,,HOLD
2025-01-21,222.10421752929688,223.87993275191027,218.85206818023312,223.46094530610958,98070400,23.240757100732935,243.18237991333007,,239.26777034848064,,,,263.8313538988906,222.53340592776954,53277185.0,HOLD
2025-01-22,223.29135131835938,223.58064673096774,219.26106511921876,219.26106511921876,64126500,25.69169022298182,241.88750305175782,,237.74620663132623,,,,264.0592931649398,219.71571293857582,53439395.0,HOLD
2025-01-23,223.1217803955078,226.4836658384098,221.76505253825962,224.19918327232872,60234800,25.566115587176228,240.34971237182617,,236.35340413267687,,,,263.2365445974268,217.46288014622553,49076370.0,HOLD
2025-01-24,222.24388122558594,225.08702882156655,220.877182986192,224.23906824814947,54697900,24.88788833256895,238.72912063598633,,235.00964004628725,,,,261.9225183106001,215.53572296137256,49768325.0,HOLD
