Ticker,Close,RSI,SMA_20,SMA_50,MACD,Signal_Line,BB_High,BB_Low,ATR,Volume_Z,Label
AAPL,27.868247985839844,51.1774602847462,28.484048461914064,26.64297523498535,0.2162010497667879,0.47148127009972046,29.687933641892844,27.280163281935284,0.6048634805646271,-1.3224382185208838,Not High Potential
AAPL,28.334394454956055,56.042645300084594,28.475238513946532,26.72389148712158,0.2255117402983764,0.42228736413945167,29.680795399083017,27.269681628810048,0.5994158075414637,-0.4043614716842194,Not High Potential
AAPL,28.65332794189453,59.04942366699553,28.472450160980223,26.82487133026123,0.2556784940569834,0.38896559012295806,29.67608702531774,27.268813296642705,0.6010481295045312,0.3681936597189033,Not High Potential
AAPL,28.436988830566406,56.2392756869272,28.461856365203857,26.921479988098145,0.25914187921425125,0.36300084794121673,29.662822587534542,27.260890142873173,0.5875886053775391,-0.8232640063480441,Not High Potential
AAPL,28.08013153076172,51.85546038444066,28.42171001434326,27.004331245422364,0.2304349248178461,0.3364876633165426,29.61734100395566,27.226079024730865,0.5972345519450828,0.5024635969152701,Not High Potential
AAPL,28.3723087310791,54.95165193510694,28.357141494750977,27.074631271362303,0.22862526513295478,0.3149151836798251,29.408258868052183,27.30602412144977,0.5856406266589601,-1.2362221173817791,Not High Potential
AAPL,28.256336212158203,53.48144862729701,28.29603042602539,27.142078628540037,0.21535065543590903,0.2950022780310419,29.212778489742607,27.37928236230817,0.5673870972748568,-1.3555957470280777,Not High Potential
AAPL,27.518081665039062,45.19251152329559,28.235699462890626,27.207024116516113,0.14360408105480715,0.264722638635795,29.18972089190317,27.28167803387808,0.5816624198300702,-0.23852672537007677,High Potential
AAPL,27.70989227294922,47.470492965170024,28.16678113937378,27.271495971679688,0.10105699485099606,0.2319895098788352,29.061812491132343,27.271749787615214,0.5764379594557945,-0.3958958547142856,High Potential
AAPL,27.48908805847168,45.14436679968581,28.108680248260498,27.33341781616211,0.04895672507656812,0.19538295291838179,29.0211043589674,27.196256137553597,0.5637803556097506,-0.8400257127708392,High Potential
AAPL,28.184959411621094,52.966467551744415,28.07834768295288,27.422497749328613,0.06309061909340485,0.1689244861533864,28.9366730272376,27.220022338668162,0.5736933399966365,-0.34554836471196704,Not High Potential
AAPL,27.752269744873047,48.34979512998724,28.023369789123535,27.506611709594726,0.038928646755262974,0.14292531827376173,28.814725109247014,27.232014469000056,0.5666484127810675,-0.6929013274086758,High Potential
AAPL,27.71212387084961,47.932343853427625,27.97552881240845,27.57779281616211,0.01635217538014544,0.11761068969503848,28.71924243475357,27.231815190063326,0.5583543876761726,-0.8482102711896843,High Potential
AAPL,27.950773239135742,50.659552078602516,27.963373565673827,27.65005916595459,0.0175152636489031,0.0975916044858114,28.700330980267182,27.22641615108047,0.5402974426491002,-1.2773715393093978,Not High Potential
AAPL,28.403526306152344,55.42920170953932,27.971737003326417,27.71871738433838,0.05434396477647141,0.0889420765439434,28.72451864194283,27.218955364710006,0.5523656147745714,-0.8663647827300011,Not High Potential
AAPL,28.10466194152832,51.86505440574103,27.959135150909425,27.778821411132814,0.05873802386907556,0.08290126600896984,28.693940996234172,27.22432930558468,0.5470033152077793,-1.0187963096794215,Not High Potential
AAPL,28.013225555419922,50.7890435403576,27.97129077911377,27.836563606262207,0.05421721288319148,0.07716445538381418,28.701213975172834,27.241367583054704,0.5307131111528294,-0.7558211554441853,Not High Potential
AAPL,28.227331161499023,53.23557651220837,28.01946611404419,27.916182899475096,0.06713705646599166,0.07515897560024967,28.680158204451494,27.358774023636883,0.5233926837114494,-1.1280945206482347,Not High Potential
AAPL,28.347776412963867,54.602876866258285,28.04901819229126,27.97079662322998,0.08610251458685525,0.0773476833975708,28.7129253573815,27.38511102720102,0.5170730636477419,-0.3348548754147312,High Potential
AAPL,28.29201889038086,53.81840453574457,28.085373210906983,28.0083443069458,0.09553237297022932,0.0809846213121025,28.718164916985252,27.452581504828714,0.511364312883243,-0.6382806491354138,Not High Potential
AAPL,28.16935157775879,52.04680228936615,28.10042839050293,28.05116970062256,0.09204632399624302,0.0831969618489306,28.726128406563753,27.47472837444211,0.4968231490733935,-1.5619135084810605,Not High Potential
AAPL,28.27640151977539,53.48581004449388,28.097528743743897,28.08960464477539,0.09680572460203507,0.0859187143995515,28.71939059566541,27.475666891822385,0.47917851894876046,-1.1190741828962438,Not High Potential
AAPL,28.140350341796875,51.3757057763752,28.071879863739014,28.12522964477539,0.08857831515697967,0.08645063455103713,28.63991585803182,27.503843869446207,0.46072322246252584,-1.1326416796035579,Not High Potential
AAPL,27.82364273071289,46.75184285831552,28.041212558746338,28.15047721862793,0.055858474791254054,0.08033220259908051,28.593087888636354,27.48933722885632,0.45505642277500186,1.2265666790525784,Not High Potential
AAPL,28.459293365478516,55.42342786902398,28.060170650482178,28.184646186828612,0.08029388155392425,0.08032453839004927,28.641362630543135,27.47897867042122,0.4762401210738498,1.1151049450125472,Not High Potential
AAPL,28.305397033691406,53.16595773988632,28.05682506561279,28.220242652893067,0.08624677056668872,0.08150898482537718,28.63152542707721,27.482124704148372,0.4665975103901862,-0.7638200691967206,Not High Potential
AAPL,28.686786651611328,57.75792854440582,28.078347587585448,28.259942932128908,0.12035208879461123,0.08927760561922399,28.710674251665544,27.44602092350535,0.4738933128840107,-0.11997245510655956,Not High Potential
AAPL,28.92098045349121,60.33004371143774,28.148492527008056,28.2940673828125,0.16438337258417945,0.10429875901221508,28.82626993039933,27.47071512361678,0.47636665465239375,1.0448395614203208,Not High Potential
